epoch	time	lr	train loss	train acc	train acc5	testloss	test acc	test acc5
0	0:0	0.1	2.06	22.0	73.8	2.41	19.2	71.4
1	0:0	0.1	1.77	32.8	86.0	1.92	31.4	84.3
2	0:0	0.1	1.61	39.3	89.9	2.46	25.7	79.1
3	0:0	0.1	1.46	46.1	92.2	2.67	26.7	79.1
4	0:0	0.1	1.34	50.7	93.7	1.86	36.2	90.8
5	0:0	0.1	1.15	58.2	95.7	2.02	37.1	88.2
6	0:0	0.1	1.07	61.5	96.3	2.21	36.7	84.4
7	0:0	0.1	0.927	67.3	97.1	1.37	52.2	94.1
8	0:0	0.1	0.89	68.5	97.4	1.3	56.4	95.8
9	0:0	0.1	0.831	70.6	97.8	1.24	58.0	94.6
10	0:0	0.1	0.726	74.9	98.2	0.792	72.6	97.8
11	0:0	0.1	0.604	79.4	98.6	0.603	79.2	98.8
12	0:0	0.1	0.551	81.3	98.8	0.596	79.6	98.8
13	0:0	0.1	0.501	83.0	98.9	0.712	76.8	98.1
14	0:0	0.1	0.464	84.4	99.1	0.804	74.2	98.2
15	0:0	0.1	0.461	84.6	99.1	1.12	66.7	96.4
16	0:0	0.1	0.439	85.3	99.1	1.61	55.1	94.6
17	0:0	0.1	0.407	86.5	99.2	0.834	74.3	98.0
18	0:0	0.1	0.399	86.7	99.3	1.95	49.4	93.8
19	0:0	0.1	0.565	80.9	98.8	0.871	71.2	97.7
20	0:0	0.1	0.437	85.3	99.1	1.03	71.5	98.0
21	0:0	0.1	0.207	93.4	99.7	0.568	82.5	98.8
22	0:0	0.1	0.319	89.6	99.4	0.997	72.2	98.2
23	0:0	0.1	0.236	92.4	99.6	0.159	95.0	99.8
24	0:0	0.1	0.173	94.4	99.8	0.142	95.5	99.8
25	0:0	0.1	0.192	93.7	99.8	0.189	94.0	99.8
26	0:0	0.1	0.175	94.3	99.8	0.219	93.4	99.7
27	0:0	0.1	0.169	94.4	99.8	0.428	88.5	99.2
28	0:0	0.1	0.213	93.0	99.8	0.636	82.8	98.8
29	0:0	0.1	0.266	91.2	99.6	0.677	79.0	98.5
30	0:0	0.01	0.17	94.6	99.8	0.193	93.6	99.7
31	0:0	0.01	0.133	95.8	99.9	0.23	92.5	99.6
32	0:0	0.01	0.12	96.2	99.9	0.291	90.9	99.5
33	0:0	0.01	0.112	96.5	99.9	0.449	86.1	99.0
34	0:0	0.01	0.108	96.5	99.9	0.406	87.4	99.2
35	0:0	0.01	0.104	96.7	99.9	0.442	87.3	99.1
36	0:0	0.01	0.0998	96.8	99.9	0.345	89.5	99.4
37	0:0	0.01	0.1	96.8	99.9	0.463	86.0	99.2
38	0:0	0.01	0.0949	97.0	99.9	0.521	84.4	99.0
39	0:0	0.01	0.0925	97.0	99.9	0.499	85.5	99.0
40	0:0	0.01	0.0928	97.0	99.9	0.552	84.8	99.0
41	0:0	0.01	0.0889	97.2	99.9	0.477	86.8	99.2
42	0:0	0.01	0.0881	97.1	1e+02	0.49	86.2	99.0
43	0:0	0.01	0.0904	97.0	99.9	0.332	90.5	99.3
44	0:0	0.01	0.0835	97.3	99.9	0.381	89.0	99.4
45	0:0	0.01	0.0842	97.3	99.9	0.335	90.1	99.4
46	0:0	0.01	0.0874	97.1	99.9	0.382	89.1	99.4
47	0:0	0.01	0.0855	97.3	99.9	0.356	89.8	99.3
48	0:0	0.01	0.0865	97.2	99.9	0.436	87.9	99.3
49	0:0	0.01	0.083	97.3	1e+02	0.393	89.4	99.3
50	0:0	0.01	0.0844	97.3	1e+02	0.325	90.7	99.5
51	0:0	0.01	0.0814	97.3	99.9	0.365	89.6	99.3
52	0:0	0.01	0.0773	97.5	1e+02	0.379	89.3	99.4
53	0:0	0.01	0.0739	97.6	1e+02	0.37	89.5	99.5
54	0:0	0.01	0.072	97.7	1e+02	0.353	90.0	99.5
55	0:0	0.01	0.0701	97.7	1e+02	0.31	91.2	99.5
56	0:0	0.01	0.076	97.5	1e+02	0.361	89.5	99.5
57	0:0	0.01	0.0753	97.5	1e+02	0.364	89.7	99.4
58	0:0	0.01	0.0697	97.7	1e+02	0.463	87.2	99.1
59	0:0	0.01	0.0705	97.7	1e+02	0.409	88.7	99.3
60	0:0	0.001	0.0726	97.5	1e+02	0.39	89.0	99.4
61	0:0	0.001	0.0672	97.8	1e+02	0.376	89.5	99.4
62	0:0	0.001	0.0683	97.8	1e+02	0.352	90.0	99.5
63	0:0	0.001	0.0653	97.9	1e+02	0.386	89.3	99.4
64	0:0	0.001	0.0676	97.8	1e+02	0.347	90.1	99.5
65	0:0	0.001	0.066	97.9	1e+02	0.357	90.0	99.5
66	0:0	0.001	0.0639	97.9	1e+02	0.379	89.6	99.4
67	0:0	0.001	0.0672	97.8	1e+02	0.353	90.0	99.5
68	0:0	0.001	0.0637	97.9	1e+02	0.369	89.6	99.5
69	0:0	0.001	0.0651	97.8	1e+02	0.371	89.7	99.5
70	0:0	0.001	0.0676	97.8	1e+02	0.34	90.3	99.5
71	0:0	0.001	0.0676	97.8	1e+02	0.365	89.7	99.5
72	0:0	0.001	0.0669	97.9	1e+02	0.382	89.2	99.4
73	0:0	0.001	0.0649	97.9	1e+02	0.341	90.6	99.5
74	0:0	0.001	0.0663	97.9	1e+02	0.351	90.3	99.5
75	0:0	0.001	0.0589	98.1	1e+02	0.356	90.1	99.5
76	0:0	0.001	0.0607	98.0	1e+02	0.371	89.7	99.4
