epoch	time	lr	train loss	train acc	train acc5	testloss	test acc	test acc5
0	0:0	0.1	1.85	30.6	82.3	3.24	11.9	64.2
1	0:0	0.1	1.5	44.2	91.5	3.04	11.5	73.3
2	0:0	0.1	1.35	50.5	93.5	3.83	12.0	69.5
3	0:0	0.1	1.25	54.7	94.6	3.85	12.5	73.2
4	0:0	0.1	1.2	56.9	95.2	3.7	11.8	74.3
5	0:0	0.1	1.12	59.9	95.8	4.12	12.6	76.2
6	0:0	0.1	1.07	61.7	96.1	4.48	13.8	76.1
7	0:0	0.1	1.04	63.1	96.4	3.91	14.2	77.1
8	0:0	0.1	0.998	64.5	96.8	3.9	14.6	76.2
9	0:0	0.1	0.97	65.3	96.9	4.17	14.5	76.4
10	0:0	0.1	0.951	66.2	97.1	3.73	15.7	77.4
11	0:0	0.1	0.932	67.0	97.2	4.06	14.8	74.3
12	0:0	0.1	0.911	67.6	97.4	3.82	14.9	77.6
13	0:0	0.1	0.898	68.1	97.4	4.15	15.2	76.3
14	0:0	0.1	0.884	68.8	97.5	4.18	15.5	78.5
15	0:0	0.1	0.867	69.3	97.6	4.03	17.1	77.4
16	0:0	0.1	0.86	69.8	97.6	3.95	14.3	77.3
17	0:0	0.1	0.853	70.0	97.7	3.83	15.9	78.3
18	0:0	0.1	0.841	70.2	97.7	3.8	16.5	76.7
19	0:0	0.1	0.835	70.3	97.7	3.86	16.6	78.0
20	0:0	0.1	0.825	70.9	97.7	3.72	17.3	79.0
21	0:0	0.1	0.813	71.3	97.9	3.74	18.7	81.1
22	0:0	0.1	0.805	71.6	97.9	4.32	16.1	77.9
23	0:0	0.1	0.796	71.9	97.9	3.86	16.6	77.5
24	0:0	0.1	0.796	71.9	97.9	4.03	16.2	80.2
25	0:0	0.1	0.786	72.3	98.0	3.87	18.1	80.6
26	0:0	0.1	0.778	72.4	98.0	3.62	18.1	80.2
27	0:0	0.1	0.768	72.7	98.1	3.98	16.7	79.7
28	0:0	0.1	0.766	72.8	98.1	4.06	15.7	79.0
29	0:0	0.1	0.764	72.9	98.1	4.06	19.1	81.6
30	0:0	0.01	0.697	75.5	98.4	3.72	20.0	81.4
31	0:0	0.01	0.675	76.1	98.5	3.79	19.5	80.3
32	0:0	0.01	0.67	76.5	98.6	3.85	19.7	80.8
33	0:0	0.01	0.653	76.9	98.6	3.93	19.5	81.3
34	0:0	0.01	0.659	76.7	98.6	3.99	19.3	80.8
35	0:0	0.01	0.651	77.0	98.6	3.93	18.8	80.9
36	0:0	0.01	0.653	76.8	98.6	3.98	18.7	81.5
37	0:0	0.01	0.65	76.9	98.6	4.0	19.0	81.4
38	0:0	0.01	0.65	76.9	98.6	3.93	19.2	81.1
39	0:0	0.01	0.64	77.4	98.7	3.92	19.3	81.6
40	0:0	0.01	0.641	77.2	98.8	3.97	19.2	80.7
41	0:0	0.01	0.637	77.5	98.7	4.06	19.2	81.3
42	0:0	0.01	0.638	77.2	98.6	3.97	19.3	80.5
43	0:0	0.01	0.631	77.7	98.7	4.08	18.9	81.6
44	0:0	0.01	0.637	77.3	98.7	4.04	19.0	81.1
45	0:0	0.01	0.632	77.7	98.8	4.03	18.9	80.5
46	0:0	0.01	0.625	77.9	98.7	4.02	18.7	80.5
47	0:0	0.01	0.631	77.8	98.6	4.11	18.9	80.9
48	0:0	0.01	0.633	77.6	98.6	4.05	18.6	80.6
49	0:0	0.01	0.627	77.8	98.7	4.03	19.4	81.2
50	0:0	0.01	0.623	78.1	98.7	4.08	18.9	81.2
51	0:0	0.01	0.625	77.9	98.8	4.11	17.8	80.3
52	0:0	0.01	0.621	78.0	98.8	4.14	18.8	81.7
53	0:0	0.01	0.615	78.2	98.8	4.04	18.7	81.2
54	0:0	0.01	0.616	78.2	98.8	4.04	18.6	81.1
55	0:0	0.01	0.614	78.1	98.8	4.13	18.9	81.2
56	0:0	0.01	0.621	77.9	98.7	4.24	18.4	80.7
57	0:0	0.01	0.618	77.9	98.8	3.99	19.6	81.7
58	0:0	0.01	0.616	78.3	98.8	4.04	18.5	81.4
59	0:0	0.01	0.611	78.4	98.8	4.25	18.6	80.0
60	0:0	0.001	0.605	78.5	98.8	4.16	18.8	80.4
61	0:0	0.001	0.599	79.0	98.9	4.12	18.6	80.7
62	0:0	0.001	0.596	79.2	98.9	4.1	18.6	81.1
63	0:0	0.001	0.597	78.7	98.9	4.12	18.6	80.9
64	0:0	0.001	0.594	79.0	98.8	4.14	18.5	80.7
65	0:0	0.001	0.596	78.8	98.9	4.12	18.5	80.9
66	0:0	0.001	0.6	78.7	98.9	4.11	18.7	81.0
67	0:0	0.001	0.596	78.9	98.9	4.13	18.7	80.9
68	0:0	0.001	0.597	78.9	98.9	4.13	18.8	81.2
69	0:0	0.001	0.594	79.1	98.9	4.1	18.6	81.1
70	0:0	0.001	0.597	78.7	98.9	4.12	18.6	81.2
71	0:0	0.001	0.591	79.0	98.9	4.12	18.9	81.1
72	0:0	0.001	0.596	78.9	98.9	4.13	18.7	81.5
73	0:0	0.001	0.596	79.0	98.8	4.13	18.6	81.1
74	0:0	0.001	0.596	78.9	98.9	4.16	18.6	81.1
75	0:0	0.001	0.593	79.0	98.9	4.17	18.5	81.1
76	0:0	0.001	0.593	79.0	98.8	4.16	18.5	81.0
77	0:0	0.001	0.59	78.9	98.9	4.18	18.6	81.2
78	0:0	0.001	0.591	79.1	98.9	4.2	18.5	81.2
79	0:0	0.001	0.59	79.3	98.9	4.18	18.6	81.2
80	0:0	0.001	0.596	78.9	98.8	4.17	18.7	81.3
81	0:0	0.001	0.59	79.0	98.9	4.17	18.6	81.4
82	0:0	0.001	0.593	79.2	98.8	4.17	18.7	81.3
83	0:0	0.001	0.589	79.1	98.9	4.2	18.6	81.2
84	0:0	0.001	0.59	79.0	98.8	4.22	18.6	81.3
85	0:0	0.001	0.591	79.1	98.9	4.23	18.6	81.1
86	0:0	0.001	0.591	79.0	98.8	4.17	18.9	81.4
87	0:0	0.001	0.585	79.2	98.9	4.18	18.9	81.2
88	0:0	0.001	0.59	79.0	98.9	4.18	18.6	81.3
89	0:0	0.001	0.59	79.3	98.9	4.21	18.5	81.2
