epoch	time	lr	train loss	train acc	train acc5	testloss	test acc	test acc5
0	0:0	0.1	1.93	27.2	79.9	3.21	11.3	65.2
1	0:0	0.1	1.66	38.4	88.5	3.62	12.8	69.4
2	0:0	0.1	1.56	42.9	90.3	3.74	11.6	65.4
3	0:0	0.1	1.49	45.5	91.4	3.01	13.6	72.0
4	0:0	0.1	1.44	47.4	92.2	3.2	15.1	72.5
5	0:0	0.1	1.4	48.9	92.6	3.29	14.8	71.3
6	0:0	0.1	1.37	50.6	92.9	2.98	14.8	75.9
7	0:0	0.1	1.34	51.6	93.3	3.06	17.3	76.6
8	0:0	0.1	1.33	52.4	93.6	3.43	15.6	78.2
9	0:0	0.1	1.3	53.1	93.8	3.22	15.1	75.2
10	0:0	0.1	1.28	54.0	93.9	2.98	18.1	79.8
11	0:0	0.1	1.27	54.4	94.2	3.04	16.4	76.5
12	0:0	0.1	1.25	55.1	94.3	3.09	16.8	78.9
13	0:0	0.1	1.25	55.3	94.4	3.3	16.0	79.8
14	0:0	0.1	1.23	56.1	94.5	3.4	17.3	79.3
15	0:0	0.1	1.21	56.6	94.7	3.2	18.0	79.5
16	0:0	0.1	1.21	57.0	94.7	3.1	18.0	80.0
17	0:0	0.1	1.2	56.9	94.9	3.15	17.0	76.1
18	0:0	0.1	1.19	57.4	94.9	3.12	18.1	80.1
19	0:0	0.1	1.18	57.7	95.1	3.15	17.8	77.3
20	0:0	0.1	1.18	58.0	95.2	3.1	18.6	79.2
21	0:0	0.1	1.17	58.1	95.1	2.86	19.8	79.9
22	0:0	0.1	1.17	58.5	95.1	2.95	20.2	81.0
23	0:0	0.1	1.16	58.7	95.3	3.0	20.1	79.5
24	0:0	0.1	1.15	58.6	95.3	2.99	19.3	80.2
25	0:0	0.1	1.15	58.9	95.2	2.97	20.4	82.6
26	0:0	0.1	1.14	59.2	95.5	3.28	18.6	79.7
27	0:0	0.1	1.14	59.5	95.4	2.88	19.6	79.7
28	0:0	0.1	1.14	59.5	95.4	2.93	20.0	79.2
29	0:0	0.1	1.13	59.6	95.6	3.01	20.0	80.4
30	0:0	0.01	1.08	61.5	95.8	2.94	20.5	82.0
31	0:0	0.01	1.05	62.5	96.0	2.94	20.8	81.6
32	0:0	0.01	1.05	62.7	96.1	2.94	20.6	81.4
33	0:0	0.01	1.05	62.7	96.1	2.93	20.7	81.6
34	0:0	0.01	1.05	62.6	96.1	3.01	20.5	81.5
35	0:0	0.01	1.04	63.3	96.2	2.96	20.8	81.9
36	0:0	0.01	1.03	63.2	96.2	2.98	20.6	82.3
37	0:0	0.01	1.03	63.2	96.2	3.03	20.4	82.0
38	0:0	0.01	1.03	63.4	96.2	2.98	20.4	81.8
39	0:0	0.01	1.03	63.2	96.2	3.02	20.5	82.4
40	0:0	0.01	1.03	63.6	96.3	2.95	20.7	82.3
41	0:0	0.01	1.03	63.7	96.2	3.01	20.1	81.7
42	0:0	0.01	1.02	63.6	96.3	3.02	19.9	81.8
43	0:0	0.01	1.03	63.7	96.4	3.0	20.5	81.7
44	0:0	0.01	1.02	63.9	96.2	3.02	19.9	82.0
45	0:0	0.01	1.02	63.7	96.4	3.05	20.4	82.0
46	0:0	0.01	1.02	64.0	96.3	2.98	20.6	82.4
47	0:0	0.01	1.02	63.7	96.4	3.03	20.4	82.3
48	0:0	0.01	1.02	63.8	96.3	3.08	20.2	82.2
49	0:0	0.01	1.02	63.6	96.3	3.01	20.6	82.2
50	0:0	0.01	1.01	63.9	96.5	3.01	20.7	82.3
51	0:0	0.01	1.01	64.2	96.4	3.05	20.7	82.0
52	0:0	0.01	1.02	63.9	96.2	3.11	19.3	81.3
53	0:0	0.01	1.01	63.9	96.4	2.99	20.7	81.7
54	0:0	0.01	1.01	63.9	96.5	2.98	21.0	82.6
55	0:0	0.01	1.01	64.2	96.5	3.0	20.9	82.2
56	0:0	0.01	1.01	64.2	96.4	2.95	20.8	82.3
57	0:0	0.01	1.01	64.1	96.4	3.05	20.3	81.9
