epoch	time	lr	train loss	train acc	train acc5	testloss	test acc	test acc5
0	0:0	0.1	1.69	36.4	86.4	4.76	4.16	57.5
1	0:0	0.1	1.17	57.7	95.4	6.36	3.85	53.9
2	0:0	0.1	0.953	65.8	97.1	6.54	2.85	56.8
3	0:0	0.1	0.809	71.3	98.0	6.61	3.09	59.9
4	0:0	0.1	0.725	74.6	98.3	6.8	3.18	52.6
5	0:0	0.1	0.66	76.8	98.6	6.07	3.07	57.8
6	0:0	0.1	0.6	79.2	98.9	5.68	4.32	62.5
7	0:0	0.1	0.568	80.3	98.9	7.24	4.12	66.5
8	0:0	0.1	0.54	81.4	99.1	6.69	5.15	64.4
9	0:0	0.1	0.497	82.9	99.2	7.03	4.81	62.6
10	0:0	0.1	0.476	83.5	99.3	7.1	4.48	65.2
11	0:0	0.1	0.455	84.3	99.3	6.49	4.09	63.1
12	0:0	0.1	0.436	84.9	99.4	6.59	6.84	64.6
13	0:0	0.1	0.418	85.5	99.5	6.44	4.83	66.3
14	0:0	0.1	0.407	85.8	99.5	6.69	5.12	63.5
15	0:0	0.1	0.392	86.1	99.5	6.99	3.22	60.1
16	0:0	0.1	0.38	86.9	99.6	6.88	6.37	62.5
17	0:0	0.1	0.363	87.3	99.6	8.04	3.84	59.5
18	0:0	0.1	0.356	87.4	99.6	6.21	5.69	64.5
19	0:0	0.1	0.343	88.1	99.6	6.98	5.18	60.5
20	0:0	0.1	0.33	88.5	99.7	8.62	5.93	63.4
21	0:0	0.1	0.329	88.5	99.7	8.04	7.43	63.1
22	0:0	0.1	0.319	88.8	99.7	6.56	7.22	64.7
23	0:0	0.1	0.311	89.1	99.7	6.68	6.77	61.8
24	0:0	0.1	0.302	89.5	99.7	6.5	6.63	64.3
25	0:0	0.1	0.294	89.7	99.7	6.66	6.89	62.9
26	0:0	0.1	0.284	90.0	99.7	6.92	7.37	65.8
27	0:0	0.1	0.284	89.8	99.8	7.8	7.68	69.3
28	0:0	0.1	0.279	90.2	99.8	7.06	5.41	66.2
29	0:0	0.1	0.27	90.6	99.8	6.85	6.5	68.5
30	0:0	0.01	0.205	93.0	99.9	6.6	8.17	68.3
31	0:0	0.01	0.18	93.8	99.9	6.58	8.4	69.6
